Location,Latitude,Longitude,
Volunteer Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65459,-83.71673,
What About Bob Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65103,-83.71482,
Throwback Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65246,-83.71932,
The Unlode > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64235,-83.71178,
The UnHoley Wall > Hole in the Wall > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64284,-83.7084,
The Stadium > Muir Valley > Red River Gorge > Kentucky,37.73169,-83.63221,
The Solarium > Muir Valley > Red River Gorge > Kentucky,37.73372,-83.63884,
The Shire > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65214,-83.70995,
The Ship Yard > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.64415,-83.72205,
The Sanctuary > Muir Valley > Red River Gorge > Kentucky,37.73135,-83.63397,
The Playground > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.6532,-83.7146,
The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,37.73387,-83.66162,
The New Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,37.73475,-83.66162,
The Hideout > Muir Valley > Red River Gorge > Kentucky,37.73189,-83.63725,
The Great Wall > Muir Valley > Red River Gorge > Kentucky,37.73288,-83.63751,
The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65292,-83.71772,
The Dark Side > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.67874,-83.73759,
The Crossroads > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.67609,-83.73312,
The Bowling Alley > Muir Valley > Red River Gorge > Kentucky,37.7212,-83.62513,
The Boneyard > Muir Valley > Red River Gorge > Kentucky,37.73135,-83.63968,
The Bear's Den > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.64408,-83.70784,
The Arsenal > Muir Valley > Red River Gorge > Kentucky,37.73348,-83.63984,
Tectonic Wall > Muir Valley > Red River Gorge > Kentucky,37.7301,-83.6318,
Sunnyside > Muir Valley > Red River Gorge > Kentucky,37.72324,-83.62607,
Sunbeam Buttress > Muir Valley > Red River Gorge > Kentucky,37.7351,-83.6371,
Sun Wall > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.66276,-83.79337,
South Side > Muir Valley > Red River Gorge > Kentucky,37.72028,-83.62436,
South Rock > See Rocks > Northern Gorge > Red River Gorge > Kentucky,37.7866,-83.7446,
Solar Collector/Gold Coast > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.6775,-83.73409,
Slab City > Muir Valley > Red River Gorge > Kentucky,37.734,-83.64101,
Shawnee Shelter > Muir Valley > Red River Gorge > Kentucky,37.73488,-83.63457,
Shady Grove > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65431,-83.71364,
Secret Garden > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64036,-83.67556,
Sanitarium > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64891,-83.67849,
Roadside Distraction > Red River Area > Taos Area > New Mexico,36.70207,-105.56168,
Raven Rock > Northern Gorge > Red River Gorge > Kentucky,37.83589,-83.66614,
Purgatory > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65343,-83.70746,
Practice Wall > Muir Valley > Red River Gorge > Kentucky,37.7275,-83.6278,
Pistol Ridge > Northern Gorge > Red River Gorge > Kentucky,37.86342,-83.67403,
Phantasia > Northern Gorge > Red River Gorge > Kentucky,37.84495,-83.64369,
Pebble Beach > Northern Gorge > Red River Gorge > Kentucky,37.8588,-83.67163,
North 40 > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.6523,-83.7082,
Military Wall > Northern Gorge > Red River Gorge > Kentucky,37.8159,-83.66918,
Midnight Surf > Muir Valley > Red River Gorge > Kentucky,37.732,-83.64195,
Lower Sky Bridge Ridge > Northern Gorge > Red River Gorge > Kentucky,37.81912,-83.57554,
Long Wall > Northern Gorge > Red River Gorge > Kentucky,37.8446,-83.6686,
Left Flank > Northern Gorge > Red River Gorge > Kentucky,37.81449,-83.66388,
Left Field > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.65258,-83.71563,
Land Before Time Wall > Muir Valley > Red River Gorge > Kentucky,37.72435,-83.63078,
Johnny's Wall > Muir Valley > Red River Gorge > Kentucky,37.72961,-83.63208,
Inner Sanctum > Muir Valley > Red River Gorge > Kentucky,37.73203,-83.63337,
Indian Creek > Northern Gorge > Red River Gorge > Kentucky,37.8939,-83.63681,
Guide Wall > Muir Valley > Red River Gorge > Kentucky,37.7258,-83.6296,
"Great Arch, The > Muir Valley > Red River Gorge > Kentucky",37.73468,-83.63843,
Gray's Wall > Northern Gorge > Red River Gorge > Kentucky,37.81779,-83.67733,
Graveyard > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64631,-83.68032,
Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky,37.7334,-83.6591,
