Location,Latitude,Longitude
Wall of Denial > Northern Gorge > Red River Gorge > Kentucky,37.82476,-83.54807
Washboard Wall > Muir Valley > Red River Gorge > Kentucky,37.72738,-83.62942
Western Sky Bridge Ridge > Northern Gorge > Red River Gorge > Kentucky,37.81309,-83.58575
Whittleton Branch > Natural Bridge Region > Red River Gorge > Kentucky,37.7877,-83.659
Willie's Wall > Northern Gorge > Red River Gorge > Kentucky,37.87355,-83.66425
Wind Tunnel > Buzzards Roost > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65594,-83.7911
Wind Tunnel > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65596,-83.79078
Vine Wall > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.6477,-83.67807
Velo Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.64552,-83.71831
Tunnel Wall > Northern Gorge > Red River Gorge > Kentucky,37.81752,-83.67839
Tower Rock > Northern Gorge > Red River Gorge > Kentucky,37.82688,-83.5954
Torrent Falls > Natural Bridge Region > Red River Gorge > Kentucky,37.72,-83.66294
The Tower of Power > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.66043,-83.78679
The Stronghold > Muir Valley > Red River Gorge > Kentucky,37.7316,-83.63096
The Spring Wall > Northern Gorge > Red River Gorge > Kentucky,37.81561,-83.68723
The Record Shop > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64753,-83.68238
The Portal > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64698,-83.67826
The Port > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65622,-83.79092
The Playpen > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.65164,-83.67944
The Pharmacy > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.6457,-83.67611
The Oasis > Southern Region Crags (Miscellaneous) > Red River Gorge > Kentucky,37.71664,-83.70866
The Nursery > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.65088,-83.67849
The Morgue > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64723,-83.68076
The Metro > White Pine Trail > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65945,-83.79418
The Mega Cave > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.61729,-83.71203
The Laboratory > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64461,-83.68018
The Kentucky Wall > Northern Gorge > Red River Gorge > Kentucky,37.89425,-83.65755
The Laboratory > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64461,-83.68018
The Infirmary > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64193,-83.68332
The Hal Garner Memorial Crag > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.63921,-83.67877
The Getaway > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.64525,-83.72348
The Fire Wall > Muir Valley > Red River Gorge > Kentucky,37.735,-83.6426
The Dome > Northern Gorge > Red River Gorge > Kentucky,37.84437,-83.65558
The Amusement Park > Natural Bridge Region > Red River Gorge > Kentucky,37.7842,-83.6824
Symphony Wall > Northern Gorge > Red River Gorge > Kentucky,37.8739,-83.66673
South Park > Bald Rock Fork Recreational Preserve (BRRP) > Red River Gorge > Kentucky,37.6406,-83.71132
Short Bus Crag > White Pine Trail > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65856,-83.79405
Serenity Point > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64136,-83.68044
Scotch Wall > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64758,-83.67575
Rough Trail > Northern Gorge > Red River Gorge > Kentucky,37.803,-83.61074
Rival Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,37.6518,-83.71274
Red River (Mallette Park) > Red River Area > Taos Area > New Mexico,36.71342,-105.40682
Recess Rock > Muir Valley > Red River Gorge > Kentucky,37.7248,-83.62899
Real Deep End > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,37.64069,-83.6855
Purple Valley > Northern Gorge > Red River Gorge > Kentucky,37.90083,-83.63815
Pumpkin Patch > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65852,-83.79409
Princess Arch > Northern Gorge > Red River Gorge > Kentucky,37.82828,-83.62109
Pinch Em Tight > Northern Gorge > Red River Gorge > Kentucky,37.8212,-83.6309
Persepolis > Muir Valley > Red River Gorge > Kentucky,37.72952,-83.64002
Patterson > Inner Loop Trail > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65585,-83.79332
Ott's Wall > Buzzards Roost > Cathedral Domain Climbing Area (CDCA) > Red River Gorge > Kentucky,37.65726,-83.7906
North Rock > See Rocks > Northern Gorge > Red River Gorge > Kentucky,37.7886,-83.7474
Mt. Olive Rock > Southern Region Crags (Miscellaneous) > Red River Gorge > Kentucky,37.62897,-83.7696
Moonshiner's Wall > Northern Gorge > Red River Gorge > Kentucky,37.82144,-83.57378
